L1	L2	L3	Other	Description	KO
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"ADH6, alcohol dehydrogenase 6 [EC:1.1.1.1]"	K13952
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"adhE, acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1]"	K04072
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"adhP, alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]"	K13953
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"yiaY, alcohol dehydrogenase [EC:1.1.1.1]"	K13954
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"E1.1.1.1, adh, alcohol dehydrogenase [EC:1.1.1.1]"	K00001
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"E1.1.1.2, adh, alcohol dehydrogenase (NADP+) [EC:1.1.1.2]"	K00002
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"mdh1, mxaF, methanol dehydrogenase (cytochrome c) subunit 1 [EC:1.1.2.7]"	K14028
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"mdh2, mxaI, methanol dehydrogenase (cytochrome c) subunit 2 [EC:1.1.2.7]"	K14029
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"E1.1.2.8, alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]"	K00114
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"eutG, alcohol dehydrogenase"	K04022
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"E1.2.1.3, aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]"	K00128
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"ALDH7A1, aldehyde dehydrogenase family 7 member A1 [EC:1.2.1.31 1.2.1.8 1.2.1.3]"	K14085
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"ALDH9A1, aldehyde dehydrogenase family 9 member A1 [EC:1.2.1.47 1.2.1.3]"	K00149
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"E1.2.1.5, aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]"	K00129
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"ACSS, acs, acetyl-CoA synthetase [EC:6.2.1.1]"	K01895
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"E6.2.1.13, acetyl-CoA synthetase (ADP-forming) [EC:6.2.1.13]"	K01905
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"E5.1.3.3, galM, aldose 1-epimerase [EC:5.1.3.3]"	K01785
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"GAL10, UDP-glucose 4-epimerase / aldose 1-epimerase [EC:5.1.3.2 5.1.3.3]"	K15917
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"agp, glucose-1-phosphatase [EC:3.1.3.10]"	K01085
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"E2.7.1.41, glucose-1-phosphate phosphodismutase [EC:2.7.1.41]"	K05344
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"pgm, phosphoglucomutase [EC:5.4.2.2]"	K01835
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"pmm-pgm, phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2]"	K15778
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"PGM2, phosphoglucomutase / phosphopentomutase [EC:5.4.2.2 5.4.2.7]"	K15779
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"G6PC, glucose-6-phosphatase [EC:3.1.3.9]"	K01084
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"ppgK, polyphosphate glucokinase [EC:2.7.1.63]"	K00886
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"ADPGK, ADP-dependent glucokinase [EC:2.7.1.147]"	K08074
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"pfkC, ADP-dependent phosphofructokinase/glucokinase [EC:2.7.1.146 2.7.1.147]"	K00918
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"E5.1.3.15, glucose-6-phosphate 1-epimerase [EC:5.1.3.15]"	K01792
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"BPGM, bisphosphoglycerate mutase [EC:5.4.2.4 5.4.2.1 3.1.3.13]"	K01837
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"E1.2.7.5, aor, aldehyde:ferredoxin oxidoreductase [EC:1.2.7.5]"	K03738
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"E1.2.7.6, glyceraldehyde-3-phosphate dehydrogenase (ferredoxin) [EC:1.2.7.6]"	K11389
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"E1.2.1.9, gapN, glyceraldehyde-3-phosphate dehydrogenase (NADP) [EC:1.2.1.9]"	K00131
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"E4.1.1.32, pckA, PEPCK, phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]"	K01596
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"E4.1.1.49, pckA, phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]"	K01610
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"E3.2.1.86A, celF, 6-phospho-beta-glucosidase [EC:3.2.1.86]"	K01222
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"E3.2.1.86B, bglA, 6-phospho-beta-glucosidase [EC:3.2.1.86]"	K01223
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"PTS-Glc-EIIA, crr, PTS system, glucose-specific IIA component [EC:2.7.1.69]"	K02777
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"PTS-Glc-EIIB, ptsG, PTS system, glucose-specific IIB component [EC:2.7.1.69]"	K02778
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"PTS-Glc-EIIC, ptsG, PTS system, glucose-specific IIC component"	K02779
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"PTS-Mal-EIIB, malX, PTS system, maltose and glucose-specific IIB component [EC:2.7.1.69]"	K02790
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"PTS-Mal-EIIC, malX, PTS system, maltose and glucose-specific IIC component"	K02791
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"PTS-Arb-EIIB, glvB, PTS system, arbutin-like IIB component [EC:2.7.1.69]"	K02749
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"PTS-Arb-EIIC, glvC, PTS system, arbutin-like IIC component"	K02750
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"PTS-Asc-EIIB, ascF, PTS system, arbutin-, cellobiose-, and salicin-specific IIB component [EC:2.7.1.69]"	K02752
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis	ko00010	"PTS-Asc-EIIC, ascF, PTS system, arbutin-, cellobiose-, and salicin-specific IIC component"	K02753
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"CS, gltA, citrate synthase [EC:2.3.3.1]"	K01647
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"ACLY, ATP citrate (pro-S)-lyase [EC:2.3.3.8]"	K01648
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"aclA, ATP-citrate lyase alpha-subunit [EC:2.3.3.8]"	K15230
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"aclB, ATP-citrate lyase beta-subunit [EC:2.3.3.8]"	K15231
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"ACO, acnA, aconitate hydratase 1 [EC:4.2.1.3]"	K01681
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"acnB, aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]"	K01682
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"IDH1, IDH2, icd, isocitrate dehydrogenase [EC:1.1.1.42]"	K00031
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"IDH3, isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]"	K00030
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"OGDH, sucA, 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]"	K00164
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"DLST, sucB, 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]"	K00658
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"DLD, lpd, pdhD, dihydrolipoamide dehydrogenase [EC:1.8.1.4]"	K00382
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"korA, 2-oxoglutarate ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3]"	K00174
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"korB, 2-oxoglutarate ferredoxin oxidoreductase subunit beta [EC:1.2.7.3]"	K00175
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"korG, 2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]"	K00177
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"korD, 2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]"	K00176
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"sucD, succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]"	K01902
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"sucC, succinyl-CoA synthetase beta subunit [EC:6.2.1.5]"	K01903
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"LSC1, succinyl-CoA synthetase alpha subunit [EC:6.2.1.4 6.2.1.5]"	K01899
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"LSC2, succinyl-CoA synthetase beta subunit [EC:6.2.1.4 6.2.1.5]"	K01900
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"sdhA, succinate dehydrogenase flavoprotein subunit [EC:1.3.99.1]"	K00239
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"sdhB, succinate dehydrogenase iron-sulfur subunit [EC:1.3.99.1]"	K00240
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"sdhC, succinate dehydrogenase cytochrome b556 subunit"	K00241
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"sdhD, succinate dehydrogenase membrane anchor subunit"	K00242
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"frdA, fumarate reductase flavoprotein subunit [EC:1.3.99.1]"	K00244
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"frdB, fumarate reductase iron-sulfur subunit [EC:1.3.99.1]"	K00245
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"frdC, fumarate reductase subunit C"	K00246
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"frdD, fumarate reductase subunit D"	K00247
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"SDHA, SDH1, succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]"	K00234
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"SDHB, SDH2, succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1]"	K00235
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"SDHC, SDH3, succinate dehydrogenase (ubiquinone) cytochrome b560 subunit"	K00236
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"SDHD, SDH4, succinate dehydrogenase (ubiquinone) membrane anchor subunit"	K00237
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"E4.2.1.2A, fumA, fumB, fumarate hydratase, class I [EC:4.2.1.2]"	K01676
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"E4.2.1.2AA, fumA, fumarate hydratase subunit alpha [EC:4.2.1.2]"	K01677
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"E4.2.1.2AB, fumB, fumarate hydratase subunit beta [EC:4.2.1.2]"	K01678
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"E4.2.1.2B, fumC, fumarate hydratase, class II [EC:4.2.1.2]"	K01679
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"MDH1, malate dehydrogenase [EC:1.1.1.37]"	K00025
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"MDH2, malate dehydrogenase [EC:1.1.1.37]"	K00026
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"mdh, malate dehydrogenase [EC:1.1.1.37]"	K00024
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"PC, pyc, pyruvate carboxylase [EC:6.4.1.1]"	K01958
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"E6.4.1.1A, pycA, pyruvate carboxylase subunit A [EC:6.4.1.1]"	K01959
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"E6.4.1.1B, pycB, pyruvate carboxylase subunit B [EC:6.4.1.1]"	K01960
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"E4.1.1.49, pckA, phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]"	K01610
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"E4.1.1.32, pckA, PEPCK, phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]"	K01596
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"citF, citrate lyase subunit alpha / citrate CoA-transferase [EC:4.1.3.6 2.8.3.10]"	K01643
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"citE, citrate lyase subunit beta / citryl-CoA lyase [EC:4.1.3.6 4.1.3.34]"	K01644
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"citD, citrate lyase subunit gamma [EC:4.1.3.6]"	K01646
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"aceE, pyruvate dehydrogenase E1 component [EC:1.2.4.1]"	K00163
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"PDHA, pdhA, pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1]"	K00161
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"PDHB, pdhB, pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1]"	K00162
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"DLAT, aceF, pdhC, pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]"	K00627
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"PDHX, dihydrolipoamide dehydrogenase-binding protein of pyruvate dehydrogenase complex"	K13997
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"porA, pyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.1]"	K00169
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"porB, pyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.1]"	K00170
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"porD, pyruvate ferredoxin oxidoreductase, delta subunit [EC:1.2.7.1]"	K00171
Metabolism	Carbohydrate Metabolism	Citrate cycle	ko00020	"porG, pyruvate ferredoxin oxidoreductase, gamma subunit [EC:1.2.7.1]"	K00172
Metabolism	Carbohydrate Metabolism	Pentose phosphate pathway	ko00030	"GPI, pgi, glucose-6-phosphate isomerase [EC:5.3.1.9]"	K01810
Metabolism	Carbohydrate Metabolism	Pentose phosphate pathway	ko00030	"pgi1, glucose-6-phosphate isomerase, archaeal [EC:5.3.1.9]"	K06859
Metabolism	Carbohydrate Metabolism	Pentose phosphate pathway	ko00030	"tal-pgi, transaldolase / glucose-6-phosphate isomerase [EC:2.2.1.2 5.3.1.9]"	K13810
Metabolism	Carbohydrate Metabolism	Pentose phosphate pathway	ko00030	"pgi-pmi, glucose/mannose-6-phosphate isomerase [EC:5.3.1.9 5.3.1.8]"	K15916
Metabolism	Carbohydrate Metabolism	Pentose phosphate pathway	ko00030	"G6PD, zwf, glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49]"	K00036
Metabolism	Carbohydrate Metabolism	Pentose phosphate pathway	ko00030	"PGLS, pgl, devB, 6-phosphogluconolactonase [EC:3.1.1.31]"	K01057
Metabolism	Carbohydrate Metabolism	Pentose phosphate pathway	ko00030	"pgl, 6-phosphogluconolactonase [EC:3.1.1.31]"	K07404
Metabolism	Carbohydrate Metabolism	Pentose phosphate pathway	ko00030	"H6PD, hexose-6-phosphate dehydrogenase [EC:1.1.1.47 3.1.1.31]"	K13937
Metabolism	Carbohydrate Metabolism	Pentose phosphate pathway	ko00030	"E1.1.1.44, PGD, gnd, 6-phosphogluconate dehydrogenase [EC:1.1.1.44]"	K00033
Metabolism	Carbohydrate Metabolism	Pentose phosphate pathway	ko00030	"rpe, RPE, ribulose-phosphate 3-epimerase [EC:5.1.3.1]"	K01783
Metabolism	Carbohydrate Metabolism	Pentose phosphate pathway	ko00030	"E2.2.1.1, tktA, tktB, transketolase [EC:2.2.1.1]"	K00615
Metabolism	Carbohydrate Metabolism	Pentose phosphate pathway	ko00030	"E2.2.1.2, talA, talB, transaldolase [EC:2.2.1.2]"	K00616
Metabolism	Carbohydrate Metabolism	Pentose phosphate pathway	ko00030	"rpiA, ribose 5-phosphate isomerase A [EC:5.3.1.6]"	K01807
Metabolism	Carbohydrate Metabolism	Pentose phosphate pathway	ko00030	"rpiB, ribose 5-phosphate isomerase B [EC:5.3.1.6]"	K01808
Metabolism	Carbohydrate Metabolism	Pentose phosphate pathway	ko00030	"fae-hps, bifunctional enzyme Fae/Hps [EC:4.3.-.- 4.1.2.43]"	K13812
Metabolism	Carbohydrate Metabolism	Pentose phosphate pathway	ko00030	"hxlA, 3-hexulose-6-phosphate synthase [EC:4.1.2.43]"	K08093
Metabolism	Carbohydrate Metabolism	Pentose phosphate pathway	ko00030	"hxlB, 6-phospho-3-hexuloisomerase [EC:5.3.1.27]"	K08094
Metabolism	Carbohydrate Metabolism	Pentose phosphate pathway	ko00030	"hps-phi, 3-hexulose-6-phosphate synthase / 6-phospho-3-hexuloisomerase [EC:4.1.2.43 5.3.1.27]"	K13831
Metabolism	Carbohydrate Metabolism	Pentose phosphate pathway	ko00030	"E4.1.2.9, phosphoketolase [EC:4.1.2.9]"	K01621
Metabolism	Carbohydrate Metabolism	Pentose phosphate pathway	ko00030	"deoC, DERA, deoxyribose-phosphate aldolase [EC:4.1.2.4]"	K01619
Metabolism	Carbohydrate Metabolism	Pentose phosphate pathway	ko00030	"rbsK, RBKS, ribokinase [EC:2.7.1.15]"	K00852
Metabolism	Carbohydrate Metabolism	Pentose phosphate pathway	ko00030	"deoB, phosphopentomutase [EC:5.4.2.7]"	K01839
